Date,Target,Prediction,Difference,Absolute Difference,
6/3/16,1377000,1.35E+06,25749.75,25749.75,
6/7/16,1398000,1.37E+06,29897.125,29897.125,
6/8/16,1406000,1.38E+06,23460,23460,
6/9/16,1430000,1.40E+06,27519.625,27519.625,
6/10/16,1406000,1.41E+06,-6391.625,6391.625,
6/13/16,1371000,1.41E+06,-41371.5,41371.5,
6/14/16,1380000,1.38E+06,-1599.875,1599.875,
6/15/16,1413000,1.37E+06,39752.125,39752.125,
6/16/16,1409000,1.39E+06,18024.75,18024.75,
6/17/16,1426000,1.40E+06,23602.625,23602.625,
6/20/16,1431000,1.41E+06,16205.75,16205.75,
6/21/16,1448000,1.43E+06,19227.875,19227.875,
6/22/16,1445000,1.44E+06,9354.5,9354.5,
6/23/16,1430000,1.44E+06,-9482.625,9482.625,
6/24/16,1400000,1.43E+06,-34048,34048,
6/27/16,1398000,1.41E+06,-13534.75,13534.75,
6/28/16,1399000,1.40E+06,1781.125,1781.125,
6/29/16,1396000,1.39E+06,5755.875,5755.875,
6/30/16,1425000,1.40E+06,27981.75,27981.75,
7/1/16,1466000,1.41E+06,52530.375,52530.375,
7/4/16,1466000,1.44E+06,22701.875,22701.875,
7/5/16,1469000,1.46E+06,8513.125,8513.125,
7/6/16,1421000,1.47E+06,-44790.125,44790.125,
7/7/16,1450000,1.43E+06,15730.25,15730.25,
7/8/16,1460000,1.43E+06,27982.375,27982.375,
7/11/16,1489000,1.45E+06,37683.875,37683.875,
7/12/16,1464000,1.47E+06,-6622.875,6622.875,
7/13/16,1481000,1.48E+06,2189.875,2189.875,
7/14/16,1500000,1.48E+06,17938.875,17938.875,
7/15/16,1518000,1.49E+06,32038.375,32038.375,
7/18/16,1533000,1.50E+06,32023.75,32023.75,
7/19/16,1533000,1.51E+06,18477.375,18477.375,
7/20/16,1540000,1.52E+06,15197.375,15197.375,
7/21/16,1543000,1.53E+06,13245.75,13245.75,
7/22/16,1516000,1.54E+06,-20003.125,20003.125,
7/25/16,1502000,1.51E+06,-10368.25,10368.25,
7/26/16,1530000,1.50E+06,28541.625,28541.625,
7/27/16,1527000,1.51E+06,18648.125,18648.125,
7/28/16,1507000,1.51E+06,-6880.375,6880.375,
7/29/16,1539000,1.51E+06,25417.25,25417.25,
8/1/16,1568000,1.53E+06,42711.25,42711.25,
8/2/16,1548000,1.56E+06,-13790.375,13790.375,
8/3/16,1517000,1.56E+06,-39963.25,39963.25,
8/4/16,1517000,1.53E+06,-17100.875,17100.875,
8/5/16,1561000,1.52E+06,39806.375,39806.375,
8/8/16,1569000,1.54E+06,29690.375,29690.375,
8/9/16,1567000,1.56E+06,7659.125,7659.125,
8/10/16,1541000,1.57E+06,-24771.875,24771.875,
8/11/16,1559000,1.55E+06,7661.375,7661.375,
8/12/16,1545000,1.54E+06,1596.125,1596.125,
8/16/16,1568000,1.55E+06,18834.25,18834.25,
8/17/16,1566000,1.55E+06,12718.375,12718.375,
8/18/16,1640000,1.56E+06,80897.875,80897.875,
8/19/16,1675000,1.59E+06,83794.25,83794.25,
8/22/16,1665000,1.64E+06,23843.125,23843.125,
8/23/16,1687000,1.66E+06,23544.25,23544.25,
8/24/16,1653000,1.67E+06,-15157.5,15157.5,
8/25/16,1639000,1.65E+06,-15814.375,15814.375,
8/26/16,1612000,1.63E+06,-19528,19528,
8/29/16,1640000,1.60E+06,35148.5,35148.5,
8/30/16,1645000,1.61E+06,35490.5,35490.5,
8/31/16,1620000,1.64E+06,-16759.125,16759.125,
9/1/16,1587000,1.62E+06,-31623.25,31623.25,
9/2/16,1597000,1.58E+06,20951.75,20951.75,
9/5/16,1606000,1.59E+06,15887.875,15887.875,
9/6/16,1643000,1.59E+06,51828.875,51828.875,
9/7/16,1621000,1.61E+06,8156,8156,
9/8/16,1639000,1.63E+06,11940.75,11940.75,
9/9/16,1575000,1.62E+06,-47852.25,47852.25,
9/12/16,1465000,1.59E+06,-125014.25,125014.25,
9/13/16,1527000,1.48E+06,45528.125,45528.125,
9/19/16,1558000,1.51E+06,51913.5,51913.5,
9/20/16,1585000,1.53E+06,52521.25,52521.25,
9/21/16,1592000,1.56E+06,29202,29202,
9/22/16,1618000,1.58E+06,35382.875,35382.875,
9/23/16,1571000,1.61E+06,-35198.25,35198.25,
9/26/16,1568000,1.58E+06,-7937.625,7937.625,
9/27/16,1569000,1.57E+06,-1475,1475,
9/28/16,1567000,1.55E+06,13311.25,13311.25,
9/29/16,1600000,1.56E+06,44951.75,44951.75,
9/30/16,1598000,1.58E+06,17462.375,17462.375,
10/4/16,1614000,1.59E+06,24220.75,24220.75,
10/5/16,1619000,1.60E+06,17871.875,17871.875,
10/6/16,1691000,1.60E+06,86670,86670,
10/7/16,1706000,1.67E+06,38280.125,38280.125,
10/10/16,1680000,1.69E+06,-11150,11150,
10/11/16,1545000,1.65E+06,-109329.875,109329.875,
10/12/16,1535000,1.57E+06,-34507.5,34507.5,
10/13/16,1557000,1.50E+06,52411,52411,
10/14/16,1577000,1.54E+06,37290.875,37290.875,
10/17/16,1590000,1.55E+06,38256.5,38256.5,
10/18/16,1589000,1.56E+06,27663.375,27663.375,
10/19/16,1625000,1.57E+06,53545,53545,
10/20/16,1620000,1.59E+06,27065.625,27065.625,
10/21/16,1589000,1.62E+06,-28375.5,28375.5,
10/24/16,1608000,1.60E+06,11449.5,11449.5,
10/25/16,1597000,1.59E+06,2138.625,2138.625,
10/26/16,1567000,1.59E+06,-25673.375,25673.375,
10/27/16,1573000,1.58E+06,-4937,4937,
10/28/16,1614000,1.57E+06,39576.625,39576.625,
10/31/16,1639000,1.59E+06,48383.125,48383.125,
11/1/16,1652000,1.62E+06,35244.625,35244.625,
11/2/16,1643000,1.63E+06,14147.5,14147.5,
11/3/16,1616000,1.63E+06,-17950.625,17950.625,
11/4/16,1627000,1.62E+06,8796.5,8796.5,
11/7/16,1640000,1.61E+06,27656.875,27656.875,
11/8/16,1644000,1.63E+06,10684.625,10684.625,
11/9/16,1596000,1.64E+06,-42708.875,42708.875,
11/10/16,1649000,1.62E+06,30851.375,30851.375,
11/11/16,1598000,1.63E+06,-32683.625,32683.625,
11/14/16,1553000,1.59E+06,-41748.875,41748.875,
11/15/16,1539000,1.57E+06,-30698.625,30698.625,
11/16/16,1558000,1.55E+06,7990.5,7990.5,
11/17/16,1568000,1.55E+06,22726.25,22726.25,
11/18/16,1586000,1.56E+06,30558.125,30558.125,
11/21/16,1593000,1.57E+06,19218.75,19218.75,
11/22/16,1640000,1.58E+06,62378.125,62378.125,
11/23/16,1649000,1.61E+06,36049,36049,
11/24/16,1650000,1.64E+06,10189.375,10189.375,
11/25/16,1650000,1.64E+06,8066.25,8066.25,
11/28/16,1677000,1.64E+06,37728.5,37728.5,
11/29/16,1677000,1.65E+06,25678.875,25678.875,
11/30/16,1746000,1.67E+06,74981.75,74981.75,
12/1/16,1749000,1.69E+06,55067.5,55067.5,
12/2/16,1727000,1.73E+06,-2459.75,2459.75,
12/5/16,1718000,1.71E+06,4407.875,4407.875,
12/6/16,1748000,1.71E+06,37686.75,37686.75,
12/7/16,1772000,1.72E+06,49484.75,49484.75,
12/8/16,1790000,1.75E+06,41456.125,41456.125,
12/9/16,1780000,1.77E+06,5413.875,5413.875,
12/12/16,1752000,1.78E+06,-23602.625,23602.625,
12/13/16,1766000,1.74E+06,26186.25,26186.25,
12/14/16,1777000,1.74E+06,39469.25,39469.25,
12/15/16,1759000,1.76E+06,-2983.5,2983.5,
12/16/16,1793000,1.75E+06,46796.875,46796.875,
12/19/16,1795000,1.76E+06,30442.875,30442.875,
12/20/16,1812000,1.78E+06,28482.5,28482.5,
12/21/16,1805000,1.79E+06,11256.875,11256.875,
12/22/16,1809000,1.80E+06,5092.125,5092.125,
12/23/16,1782000,1.80E+06,-19048.125,19048.125,
12/26/16,1798000,1.78E+06,13237.375,13237.375,
12/27/16,1799000,1.78E+06,17140,17140,
12/28/16,1788000,1.79E+06,-3007.5,3007.5,
12/29/16,1802000,1.78E+06,20068.5,20068.5,
1/2/17,1805000,1.78E+06,27806.75,27806.75,
1/3/17,1824000,1.79E+06,31171.375,31171.375,
1/4/17,1808000,1.81E+06,2130.375,2130.375,
1/5/17,1778000,1.81E+06,-28424.625,28424.625,
1/6/17,1810000,1.78E+06,27065.75,27065.75,
1/9/17,1861000,1.80E+06,60675.875,60675.875,
1/10/17,1862000,1.83E+06,28619.25,28619.25,
1/11/17,1914000,1.85E+06,63036.875,63036.875,
1/12/17,1940000,1.88E+06,58723.375,58723.375,
1/13/17,1873000,1.90E+06,-29668.875,29668.875,
1/16/17,1833000,1.88E+06,-44591.125,44591.125,
1/17/17,1848000,1.84E+06,13003.875,13003.875,
1/18/17,1847000,1.83E+06,13343.75,13343.75,
1/19/17,1874000,1.84E+06,35735.25,35735.25,
1/20/17,1860000,1.86E+06,-2222,2222,
1/23/17,1903000,1.85E+06,54939.875,54939.875,
1/24/17,1908000,1.86E+06,43250.25,43250.25,
1/25/17,1970000,1.89E+06,78169.125,78169.125,
1/26/17,1995000,1.92E+06,71930.75,71930.75,
1/31/17,1973000,1.96E+06,12365.625,12365.625,
2/1/17,1956000,1.96E+06,-6798.625,6798.625,
2/2/17,1968000,1.95E+06,17090.125,17090.125,
2/3/17,1973000,1.95E+06,19373.875,19373.875,
2/6/17,1978000,1.95E+06,25064.125,25064.125,
2/7/17,1941000,1.96E+06,-16206.25,16206.25,
2/8/17,1920000,1.94E+06,-21858,21858,
2/9/17,1920000,1.91E+06,9287.875,9287.875,
2/10/17,1918000,1.91E+06,5887,5887,
2/13/17,1898000,1.91E+06,-11030.5,11030.5,
2/14/17,1879000,1.88E+06,-2650.375,2650.375,
2/15/17,1886000,1.87E+06,11392.125,11392.125,
2/16/17,1901000,1.86E+06,42091.5,42091.5,
2/17/17,1893000,1.88E+06,9678.375,9678.375,
2/20/17,1933000,1.87E+06,64372.75,64372.75,
2/21/17,1947000,1.91E+06,40754,40754,
2/22/17,1965000,1.93E+06,38928.75,38928.75,
2/23/17,1959000,1.94E+06,17433.625,17433.625,
2/24/17,1911000,1.94E+06,-31442.5,31442.5,
2/27/17,1903000,1.92E+06,-15373.125,15373.125,
2/28/17,1922000,1.89E+06,33607.125,33607.125,
3/2/17,1986000,1.90E+06,89560.125,89560.125,
3/3/17,1981000,1.93E+06,51835.375,51835.375,
3/6/17,2004000,1.95E+06,51728.75,51728.75,
3/7/17,2010000,1.96E+06,46989,46989,
3/8/17,2010000,1.98E+06,30763.5,30763.5,
3/9/17,2010000,1.99E+06,18024.75,18024.75,
3/10/17,2009000,1.99E+06,21626.375,21626.375,
3/13/17,2030000,1.99E+06,43314.875,43314.875,
3/14/17,2068000,2.00E+06,66567.75,66567.75,
3/15/17,2070000,2.03E+06,44584.125,44584.125,
3/16/17,2092000,2.03E+06,59100,59100,
3/17/17,2120000,2.07E+06,54070.25,54070.25,
3/20/17,2095000,2.08E+06,16394.875,16394.875,
3/21/17,2128000,2.07E+06,54011.875,54011.875,
3/22/17,2123000,2.08E+06,41468.625,41468.625,
3/23/17,2090000,2.07E+06,18004,18004,
3/24/17,2075000,2.07E+06,2711.375,2711.375,
3/27/17,2060000,2.05E+06,6090,6090,
3/28/17,2074000,2.05E+06,28433.375,28433.375,
3/29/17,2089000,2.06E+06,32023.125,32023.125,
3/30/17,2099000,2.07E+06,33323.375,33323.375,
3/31/17,2060000,2.08E+06,-21073.75,21073.75,
4/3/17,2072000,2.06E+06,11631.625,11631.625,
4/4/17,2104000,2.06E+06,48835.25,48835.25,
4/5/17,2107000,2.07E+06,38039.875,38039.875,
4/6/17,2092000,2.08E+06,14877.875,14877.875,
4/7/17,2080000,2.07E+06,7042.5,7042.5,
4/10/17,2097000,2.06E+06,37439.125,37439.125,
4/11/17,2080000,2.07E+06,9672,9672,
4/12/17,2095000,2.07E+06,26367.75,26367.75,
4/13/17,2121000,2.07E+06,49356.875,49356.875,
4/14/17,2101000,2.08E+06,21089.875,21089.875,
4/17/17,2078000,2.08E+06,-4602.625,4602.625,
4/18/17,2075000,2.07E+06,2936.375,2936.375,
4/19/17,2045000,2.06E+06,-15825.625,15825.625,
4/20/17,2014000,2.04E+06,-24135.5,24135.5,
4/21/17,2038000,2.00E+06,37825.375,37825.375,
4/24/17,2062000,2.02E+06,44273.25,44273.25,
4/25/17,2135000,2.04E+06,96188.625,96188.625,
4/26/17,2140000,2.07E+06,69015.875,69015.875,
4/27/17,2192000,2.10E+06,87138.5,87138.5,
4/28/17,2231000,2.13E+06,105349,105349,
5/2/17,2245000,2.21E+06,31624,31624,
5/4/17,2276000,2.22E+06,60777,60777,
5/8/17,2351000,2.23E+06,123654,123654,
5/10/17,2280000,2.26E+06,16241.5,16241.5,
5/11/17,2275000,2.26E+06,12696,12696,
5/12/17,2291000,2.24E+06,51151.5,51151.5,
5/15/17,2305000,2.26E+06,46314.5,46314.5,
5/16/17,2319000,2.26E+06,57335.75,57335.75,
5/17/17,2317000,2.29E+06,30310.5,30310.5,
5/18/17,2297000,2.28E+06,14916.5,14916.5,
5/19/17,2236000,2.26E+06,-20795,20795,
5/22/17,2255000,2.23E+06,26519.75,26519.75,
5/23/17,2246000,2.22E+06,26979.5,26979.5,
5/24/17,2244000,2.23E+06,14958,14958,
5/25/17,2284000,2.22E+06,62364,62364,
5/26/17,2304000,2.23E+06,71880.5,71880.5,
5/29/17,2281000,2.26E+06,22962.25,22962.25,
5/30/17,2232000,2.26E+06,-32046.75,32046.75,
5/31/17,2235000,2.23E+06,8456.5,8456.5,
6/1/17,2234000,2.20E+06,32768.5,32768.5,
6/2/17,2298000,2.21E+06,89866,89866,
6/5/17,2297000,2.24E+06,58491.5,58491.5,
6/7/17,2265000,2.27E+06,-1998.5,1998.5,
6/8/17,2258000,2.25E+06,3573.25,3573.25,
6/9/17,2305000,2.23E+06,75857.5,75857.5,
6/12/17,2269000,2.26E+06,6789,6789,
6/13/17,2270000,2.24E+06,30734,30734,
6/14/17,2268000,2.24E+06,31813,31813,
6/15/17,2284000,2.25E+06,35769.25,35769.25,
6/16/17,2279000,2.25E+06,29409.25,29409.25,
6/19/17,2328000,2.24E+06,84258.75,84258.75,
6/20/17,2407000,2.27E+06,140001,140001,
6/21/17,2374000,2.33E+06,40787.75,40787.75,
6/22/17,2398000,2.34E+06,54194.25,54194.25,
6/23/17,2381000,2.35E+06,28590,28590,
6/26/17,2414000,2.34E+06,73088.5,73088.5,
6/27/17,2415000,2.35E+06,61464.75,61464.75,
6/28/17,2385000,2.37E+06,19994,19994,
6/29/17,2397000,2.35E+06,51450.5,51450.5,
6/30/17,2377000,2.36E+06,16062.5,16062.5,
7/3/17,2361000,2.33E+06,28561.5,28561.5,
7/4/17,2350000,2.33E+06,15485.25,15485.25,
7/5/17,2379000,2.32E+06,57977.5,57977.5,
7/6/17,2403000,2.32E+06,81392.75,81392.75,
7/7/17,2393000,2.35E+06,39638.75,39638.75,
7/10/17,2433000,2.35E+06,80556.75,80556.75,
7/11/17,2450000,2.38E+06,67569.25,67569.25,
7/12/17,2494000,2.39E+06,103307,103307,
7/13/17,2528000,2.42E+06,107892.25,107892.25,
7/14/17,2524000,2.46E+06,66685.75,66685.75,
7/17/17,2532000,2.48E+06,49258,49258,
7/18/17,2542000,2.48E+06,57142,57142,
7/19/17,2537000,2.48E+06,57048.5,57048.5,
7/20/17,2560000,2.47E+06,87781.5,87781.5,
7/21/17,2554000,2.49E+06,62497.25,62497.25,
7/24/17,2543000,2.49E+06,53385.25,53385.25,
7/25/17,2500000,2.49E+06,13835,13835,
7/26/17,2492000,2.46E+06,27914.75,27914.75,
7/27/17,2490000,2.44E+06,53136,53136,
7/28/17,2388000,2.45E+06,-61562.25,61562.25,
7/31/17,2410000,2.39E+06,23578,23578,
8/1/17,2430000,2.35E+06,79784.75,79784.75,
8/2/17,2450000,2.37E+06,81349.25,81349.25,
,,,,33646.484,Average